,Date,Review_Score,Review_Text
46,"March 30, 2019",1,"app asked me for uninstalling and installing of new version, but i am keep getting error 1010, it doesn't work with bankid, not with other 2 ways offered. so only thin that i can do is to uninstall it and use web version."
47,"April 2, 2019",1,new update for new version thumbs down.i have to log in with bank id everytime.earlier version one time log in and could see transactions on my account. i am using android. i did try uninstall and install. it's not working.
48,"April 22, 2019",1,not working on rooted phones :(
49,"May 31, 2019",1,crashes 9 of 10 times
50,"April 28, 2019",1,"can't login, speaks for it self..."
51,"January 28, 2019",1,"the updated app just doesn't work. it's chock full of bugs. the fingerprint scanner doesn't always work, half the time it thinks i'm exiting the app instead, loading times are too long, viewing all my accounts crashes the app, and a number of other minor annoyances. the old app was well overdue an u...full review"
52,"February 25, 2019",5,"this is a change to my previous one star review. was about to send through a complaint as it had appeared the app had caused my phone to go into an infinite boot loop that even a factory reset would not sort out, but dnb checked with the developers and provided proof there was an issue with the late...full review"
53,"March 13, 2019",2,"i primarily used the old app to do a quick account balance check. having to log in virtually every time defeats the purpose of having an app in the first place, and i might as well log in through the browser. also, it seems a bit silly to enter the phone number of the phone from which i am using the...full review"
54,"February 22, 2019",1,after the last major update the app became completely useless. it doesn't keep me logged in and i have to carry around my bank code all the time if i want to use the app. and it's extra uncomfortable when i travel plus to that mobile id is not an option in this case cause i have a different sim card...full review
55,"January 25, 2019",1,"you have to log in every time you open the app, this eliminates all useful features it would have as its a 3 step auth process every single time you open the app.   at least the old app worked and gave you info without bothering you, this is just bad.  it wont even let me use fingerprint login.  who...full review"
56,"February 21, 2019",1,"the app has become too cumbersome in use, is it really necessary to go through in-logging simply to check a balance? and why not allow the app to remember my phone number rather than have me tell it every time?  in 80-90% of the attempts at logging in, i'm left waiting, twiddling my thumbs, for the ...full review"
57,"April 28, 2019",4,it works very well now. thanks dnb.
58,"March 20, 2019",1,"they had. agreat app. now it is a total disaster. slow, less functional amd constantly asking to log in. (answer to answer) i hate to have a widget to check my balance (friends can see it while i swipe) and i hat tonot have a easy balance in and out for the last 30 days. furthermore, the previous ap...full review"
