,Date,Review_Score,Review_Text
49,"June 15, 2018",5,"slutta å funke på oppdateringa i dag. har en motorola moto g4 plus. appen 
er kjempefin da!"
50,"September 12, 2018",2,kan ikke ta skjerm bilde lenge. funket før. derfor vanskelig å oppfølge mine fond bevegelse :(
51,"April 11, 2018",3,"""bekreft opplysninger""  også kommer man ikke videre selv om jeg velger ""jeg bekrefter...."" og trykker på bekreft."
52,"April 29, 2018",3,"ok, fungerer omsider på android 7.1 i det minste. lurer på hvor lenge det varer denne gangen..."
53,"April 7, 2018",5,fungerer flott
54,"March 23, 2018",5,"suveren bank med bra app, brukervennlig og nærmest full funksjonalitet som i nettleser."
55,"December 29, 2017",2,"takler ikke å bli minimert. ender ofte opp med hvit skjerm, og eneste løsning er å swipe bort appen og starte på nytt. navnebyttet har ødelagt mobilbanken."
56,"December 21, 2017",3,"the app works, you have to click through quite a lot to get to where you want to be. certainly not a great app but it let's you do most things in the app so you can do your finances."
57,"January 9, 2018",2,alt som har med aksjer og fond er blitt veldig uoversiktelig og knotete.. her er det virkelig potensial til forbedring. forøvrig er appen god
58,"February 14, 2018",4,"beste nettbanken i norge, ihvertfall av de jeg har prøvd."
59,"February 6, 2018",4,"fin app, men ønsker meg også app for android wear til å sjekke saldo, og adaptivt ikon :)"
60,"December 15, 2017",5,"flott app; ryddig, oversiktlig, rask og presis. innlogging med fingeravtrykk gjør dette til en raskere måte å sjekke status på konto enn web. tilpassing av app ikon til android 8.0 gjenstår, i mitt tilfelle rundt ikon."
61,"December 17, 2017",2,skjønner ikke helt hvorfor dere endret den forrige appen. for den her krasjer veldig ofte. og den er mye tregere. har måttet resete appen mange ganger. veldig dårlig
62,"December 15, 2017",1,can you please translate the app to english?! it shouldn't be that hard and nowadays it should be mandatory. a lot of expats like me are finding it very hard to deal with this. as an example in the netherlands almost everything is translated to english including offcourse the mobile banking apps. th...full review
63,"December 14, 2017",4,"ny fargepalett gjør navigering ""tregere"" - men fortsatt milevis forran andres forsøk på nett/mobil bank ❤️ fingeravtrykkinnogging er fikset i dagens versjon ♥️"
64,"December 11, 2017",2,problemene med innlogging etter at den har ligget i bakgrunnen en stund er vell et kjent problem for dere. når er det planlagt fikset?
65,"December 12, 2017",2,the log in page freezes therefore i can't log in to the app. i never had a problem like this with skandiabanken app. please do something about this.
66,"December 12, 2017",1,"tidligere var skandiabanken sin mobilapp helt suveren. den så bra ut, og viktigst av alt - den fungerte. etter de byttet profil til spanken har alt gått til helvete. den ser ikke ut, har blitt tregere og tregere, og nå får jeg ikke logget inn en gang."
67,"December 14, 2017",2,"bra bank, men appen må avsluttes hver gang jeg vil logge inn, ved neste oppstart går det som regel bra."
68,"December 12, 2017",1,nye appen er helt forferdelig dårlig. her blir det bytting av bank
69,"December 13, 2017",1,fix your login bug! this is unacceptable!
70,"December 4, 2017",5,har 0 problemer. synes nye appen er mye bedre jeg.
71,"December 4, 2017",1,viser ikke changelog ved oppdatering. treg og bruker mye strøm.
72,"December 12, 2017",1,hadde vært fint å fått logga inn da
73,"December 12, 2017",1,"treg, kan ikke aktivere meg. bortkastet tid."
74,"December 3, 2017",1,"my eyes hurt so much looking at this horrible app. the green colour on white combination fails every wcag accessibility test. there are online tests for it, i can't  believe it is so bad. whoever picked the colour combination should be fired."
75,"November 25, 2017",1,"kræsjer alt for ofte, spesielt etter at appen kom i  ny drakt ifm. navnebyttet. nye versjoner til stadighet, uten at problemene noen ende vil ta. nå må dere fikse appen en gang for alle, ellers ryker dere på en smell i kundetilfredshet."
76,"November 24, 2017",2,"denne nye appen er veldig treg i forhold til den gamle, og ofte klager den på nettverksproblemer ved oppstart.. må ofte restarte appen. likte den gamle bedre. rart om de har ny kodebase, da det kun er navnebytte og endring av grafisk profil."
77,"December 1, 2017",2,etter oppdatering til sbanken har appen sluttet å fungere etter å ha vært i dvale. må avsluttes og restartes.
78,"December 4, 2017",3,innlogging med fingeravtrykk har ikkje fungert etter navnebytte (huawei nexus 6).  solid app ellers.
79,"November 22, 2017",5,funker bra!
80,"November 20, 2017",1,"the skandia app used to be smooth as silk but the last few updates have led to erratic performance at best. now i am unable to get further than a late ""s"" logo. please fix asap!"
81,"November 14, 2017",3,kræsjer regelmessig hvis man bytter mellom forskjellige nett (4g->wifi / wifi1->wifi2 osv) og må lukkes og gjenåpnes for å fungere. fiks dette vær så snill. også enig med andre - hamburgeren må til venstre!
82,"November 20, 2017",1,"sluttet å funke etter navnebytte, har prøvd å reinstallere. får bare opp logo..."
83,"November 20, 2017",1,stopped working after they changed to sbanken. now it only shows the logo.
84,"November 16, 2017",1,og da er vi igang igjen med feil under innlogging.. problemer ved oppstart. alltid problemer hvis jeg ikke restarter appen :/
85,"November 20, 2017",1,"funker ikke etter navnebytte, bare logo, kommer ikke lenger"
86,"November 16, 2017",1,"det er rett og slett ganske imponerende hvor mye dårligere appen ble etter bytte av navn.. når jeg starter appen nå er det typisk slik at den ikke vil lese fingeravtrykk, så trykker jeg avbryt og logger på med app-kode, det gir en feilmelding.. så forsøker jeg på fingeravtrykk igjen og får meldingen...full review"
87,"November 16, 2017",2,"problemer oppstår hver gang jeg åpner appen. må ""prøve på nytt"", ""oi! now gikk galt""-melding. plagsomt"
88,"November 20, 2017",1,starter ikke engang. funket et par ganger og står nå bare fast på logoskjermen.
89,"November 20, 2017",1,was very good and flawless before sbanken. now today it is just showing logo. please fix. hope you have smooth transition
90,"November 20, 2017",5,"okay, nå ser jeg kun logoen. kommer ikke videre."
91,"November 20, 2017",1,"kommer ikke lengre enn til s'en, hva er det dere driver med?!"
92,"November 20, 2017",1,"var god før, har blitt ille etter oppdateringer siste ukene."
93,"November 20, 2017",1,irriterende ofte den helt enkelt ikke funker.. ellers grei
94,"November 20, 2017",1,"virker ikke lenger, henger på s-logoen."
95,"November 21, 2017",4,virker igjen. fint.
96,"November 6, 2017",2,"visuelt ok, men flyt hamburgermenuen til venstre side sådan som for alle andre android apps. nu er det håbløst vanskeligt at betjene appen med en hånd."
97,"November 2, 2017",5,app is working again. god work fellas!
98,"November 5, 2017",5,beste banken. bra app. funker som regel helt supert
99,"October 31, 2017",1,"latest version doesn't work on s7 edge, when it worked it was a nice app."
100,"October 31, 2017",2,worked fine until last release. now doesn't start at all.  v 3.4.4
101,"October 31, 2017",5,i like this app👍
102,"October 21, 2017",1,after latest upgrade won't open
103,"October 24, 2017",3,"siste oppgradering kræsj: ""404: file or directory not found"""
104,"June 19, 2017",2,det er umulig å betale regninger siden man ikke kan bytte mellom apper uten at den logger ut. kan da ikke kopiere kid etc fra mail på telefonen.
105,"January 19, 2017",5,"støtter ikke android n. appen åpner, men det er bare svart."
106,"July 30, 2017",1,"veldig irriterende at man blir logget ut om man må hente kontonr eller kid fra andre apper, nettsider eller epost. dette har aldri vært et problem i andre mobilbank apper. dette må fikses! det må gå an å betale regninger på mobilen uten penn og papir!! alt for dårlig. samsung s8."
107,"August 14, 2017",3,"kan man bruke denne appen selv om man har en annen bank? bruker ikke scandia banken, men har lyst å bruke denne appen, er det mulig?"
108,"December 20, 2016",1,"får ikke registrert,  får feilmelding."
109,"October 13, 2017",4,add english language option please!
110,"December 30, 2016",1,doesn't even start.
111,"October 13, 2016",5,ønsker meg innlogging med fingeravtrykk også på qr-kode og egen snarvei fra hjemskjerm til qr-kode. naturlig app shortcut i android 7.1?
112,"September 16, 2016",4,edit: kom ny oppdatering nå. nå fungerer det igjen
113,"September 28, 2016",5,"glimrende app. oppdatering med innloggingsproblemer ble raskt rettet opp, og alt fungerer som vanlig nå."
114,"September 18, 2016",4,nice :)
115,"August 24, 2016",3,"og fingerleseren i samsung s7 er ikke støttet. trekt 1 stjerne for hver så 3 av 5 """"geit nokk men burde vært mye bedre"""
116,"September 10, 2016",2,det er totalt tøv og useriøst at en app vurderer cm som en usikker android versjon. på mine enheter som er noen år gamle er det kun cm som er oppdatert. alternativet er android 4 som ikke har fått noen som helst oppdateringer fra hardwareprodusenten på over 18-20 måneder. nå kjører jeg en oppdatert ...full review
117,"August 23, 2016",5,"fungerer veldig bra, og nå også på android 7"
118,"October 18, 2016",1,hei skandiabanken dere trenger ikke mobilstatus
119,"August 28, 2016",5,veldig veldig topp topp 👍👍👍👍
120,"August 23, 2016",5,perfect!
121,"August 19, 2016",1,"etter nedlasting alt greit men saa kommer en lang aktiveringskode paa sms som jeg maa lese to ganger, jeg maa ut av denne appen for aa lese sms saa maa man begynne alt paa nytt ved aa gaa tilbake til denne appen,"
122,"June 23, 2016",1,og hva skal dere med kontaktlista mi?
123,"September 2, 2016",2,"bra app. men begrensende med kun 3 enheter. har et par mobiler og et par nettbrett i ulik størrelse. fint om qr login kunne automatiseres, dvs starter man pålogging på web og man så starter app så ville det vært fint om  man slapp å velge qr i menyen."
124,"August 23, 2016",5,"fungerer endelig med android n, hvorfor ventet dere så lenge?"
